timestamp,ev_user_id,device_id,role,location,geo_coordinates,charger_id,session_duration,power_usage,behavior_context,risk_score,access_granted
2025-06-09T09:55:12.693981,evuser_000,6d:a3:5e:20:6b:06,admin,birmingham,"52.01538,-1.59558",CHG-080,21.43,14.46,normal,0.2,True
2025-06-30T20:15:12.693981,evuser_001,44:a0:9b:c0:36:75,admin,manchester,"53.10821,-0.57186",CHG-008,113.54,1.68,normal,0.0,True
2025-06-12T03:24:12.693981,evuser_002,01:7d:6a:c5:cb:a4,fleet,manchester,"53.24064,-0.99642",CHG-014,67.15,42.51,normal,0.0,True
2025-06-09T16:41:12.693981,evuser_003,80:53:62:36:a8:5d,fleet,manchester,"53.47667,-1.64150",CHG-063,60.39,38.23,normal,0.0,True
2025-07-02T16:22:12.693981,evuser_004,69:c4:2f:b2:37:fb,admin,london,"53.36570,-2.03084",CHG-089,12.81,38.24,normal,0.0,True
2025-07-20T17:21:12.693981,evuser_005,d8:6a:e3:73:88:18,admin,birmingham,"52.14264,-1.43277",CHG-072,105.62,27.08,normal,0.0,True
2025-07-24T05:02:12.693981,evuser_006,a9:e1:33:41:90:65,fleet,birmingham,"52.86541,-0.91575",CHG-087,117.1,9.19,normal,0.2,True
2025-06-06T16:44:12.693981,evuser_007,05:29:a0:62:b7:a7,user,birmingham,"53.01639,-0.83750",CHG-092,31.1,3.36,normal,0.2,True
2025-06-14T07:10:12.693981,evuser_008,e1:20:fb:26:09:9f,admin,birmingham,"51.30487,-0.19412",CHG-035,88.68,3.57,normal,0.0,True
2025-06-09T15:49:12.693981,evuser_009,0e:1f:4c:16:86:c1,user,london,"51.67311,-0.21640",CHG-058,105.02,47.92,normal,0.2,True
2025-06-25T16:24:12.693981,evuser_010,60:30:3d:4e:ba:f4,fleet,manchester,"52.43628,-1.22866",CHG-055,62.23,29.09,normal,0.0,True
2025-08-02T17:14:12.693981,evuser_011,7d:d1:8d:4e:4f:ac,user,london,"52.05871,-0.35089",CHG-004,38.92,45.95,normal,0.0,True
2025-07-14T10:08:12.693981,evuser_012,eb:a2:09:39:7f:23,fleet,london,"53.00887,-1.79008",CHG-042,84.28,5.53,normal,0.0,True
2025-07-15T08:47:12.693981,evuser_013,07:76:91:6d:c2:f6,fleet,birmingham,"52.80634,-1.71910",CHG-063,26.69,24.36,normal,0.2,True
2025-08-03T07:45:12.693981,evuser_014,08:e1:1b:3a:82:cd,admin,birmingham,"52.97347,-0.51259",CHG-018,11.72,15.44,normal,0.0,True
2025-07-14T01:26:12.693981,evuser_015,1d:80:2f:d2:67:1b,user,birmingham,"53.06339,-0.77704",CHG-035,106.53,43.04,normal,0.2,True
2025-07-01T12:40:12.693981,evuser_016,20:a5:08:ce:f5:31,admin,manchester,"51.51705,-0.00338",CHG-027,10.83,46.11,normal,0.0,True
2025-07-17T02:41:12.693981,evuser_017,b1:a6:9d:dd:45:58,user,manchester,"52.32517,-0.71628",CHG-046,5.01,27.28,normal,0.0,True
2025-06-22T21:28:12.693981,evuser_018,13:9a:5f:1e:98:ae,admin,london,"51.98150,-0.39601",CHG-070,39.05,13.87,normal,0.0,True
2025-06-13T05:05:12.693981,evuser_019,c7:76:e2:15:b3:d3,admin,manchester,"52.21830,-0.31881",CHG-091,108.57,47.18,normal,0.2,True
2025-07-09T21:36:12.693981,evuser_020,bb:01:52:d8:e4:d1,admin,birmingham,"51.86245,-1.20787",CHG-046,30.68,26.68,normal,0.0,True
2025-07-17T22:36:12.693981,evuser_021,d5:a1:de:65:24:05,fleet,birmingham,"53.29611,-1.65377",CHG-097,99.15,40.27,normal,0.0,True
2025-06-07T01:25:12.693981,evuser_022,b2:42:e2:c7:e0:74,admin,birmingham,"51.40301,-2.19083",CHG-090,76.89,44.04,normal,0.2,True
2025-07-09T06:02:12.693981,evuser_023,bd:ad:2a:db:13:7e,admin,london,"52.74240,-1.06251",CHG-028,90.67,11.8,normal,0.0,True
2025-08-09T06:14:12.693981,evuser_024,99:c1:c4:fe:f3:a0,user,london,"52.35662,0.00094",CHG-046,32.91,16.0,normal,0.0,True
2025-07-06T22:47:12.693981,evuser_025,8e:47:a6:5d:21:a4,fleet,london,"52.55855,-0.90419",CHG-088,37.45,27.31,normal,0.0,True
2025-06-06T12:00:12.693981,evuser_026,19:87:4c:af:14:e7,admin,birmingham,"52.35975,-1.07381",CHG-021,103.44,7.18,normal,0.0,True
2025-06-15T19:57:12.693981,evuser_027,8f:98:f4:39:f7:7a,fleet,london,"53.37258,-1.38750",CHG-022,67.99,16.38,normal,0.0,True
2025-07-16T22:01:12.693981,evuser_028,32:61:d3:d0:69:97,fleet,birmingham,"52.74883,-1.51309",CHG-099,95.2,49.87,normal,0.0,True
2025-06-24T06:17:12.693981,evuser_029,45:ec:3e:a6:f9:6c,admin,london,"53.23007,-1.59099",CHG-070,36.56,33.6,normal,0.0,True
2025-07-28T01:47:12.693981,evuser_030,07:0d:7f:fc:9b:a3,fleet,birmingham,"53.19698,-1.20951",CHG-062,111.88,31.19,normal,0.0,True
2025-06-21T09:14:12.693981,evuser_031,9a:70:96:f0:cd:6f,admin,london,"52.14266,-0.77500",CHG-067,89.76,18.21,normal,0.0,True
2025-08-03T01:21:12.693981,evuser_032,94:23:99:61:9e:14,fleet,manchester,"52.60096,-1.52574",CHG-038,52.53,35.83,normal,0.2,True
2025-08-06T17:25:12.693981,evuser_033,84:af:d2:00:48:e6,admin,manchester,"52.05414,-0.13385",CHG-040,26.91,11.12,normal,0.2,True
2025-06-06T12:15:12.693981,evuser_034,fa:cc:21:87:1f:93,admin,london,"53.35045,-1.00901",CHG-002,88.26,16.16,normal,0.0,True
2025-06-23T17:55:12.693981,evuser_035,4c:90:6f:b1:dd:54,fleet,birmingham,"53.43548,-1.85555",CHG-027,12.11,49.53,normal,0.0,True
2025-06-15T15:33:12.693981,evuser_036,85:01:8a:0c:c3:52,fleet,birmingham,"52.75657,-1.73941",CHG-026,99.27,4.76,normal,0.0,True
2025-06-05T00:57:12.693981,evuser_037,f6:86:24:be:24:82,admin,manchester,"51.89184,0.11787",CHG-057,105.12,48.42,normal,0.0,True
2025-07-27T12:30:12.693981,evuser_038,40:9e:fe:ef:56:dd,user,london,"51.40838,-1.15866",CHG-081,27.89,40.7,normal,0.2,True
2025-07-26T11:54:12.693981,evuser_039,c7:61:b3:af:c6:ec,user,manchester,"51.57720,-1.69961",CHG-084,29.1,32.44,normal,0.0,True
2025-07-10T18:03:12.693981,evuser_040,1b:83:99:21:36:34,user,manchester,"53.14430,-1.58973",CHG-051,26.33,40.74,normal,0.0,True
2025-06-03T08:53:12.693981,evuser_041,0e:55:94:6c:4e:0c,user,london,"52.94699,-2.20702",CHG-030,99.36,36.09,normal,0.0,True
2025-07-01T03:56:12.693981,evuser_042,f0:04:08:42:9f:89,admin,london,"51.48335,-1.83546",CHG-020,105.18,4.65,normal,0.2,True
2025-07-28T19:06:12.693981,evuser_043,5b:0e:6b:d6:0d:83,fleet,london,"53.49033,-1.01076",CHG-026,99.79,19.02,normal,0.0,True
2025-06-17T15:12:12.693981,evuser_044,6f:66:22:9c:5c:da,admin,london,"51.49168,-0.52023",CHG-040,111.16,44.46,normal,0.0,True
2025-06-07T05:42:12.693981,evuser_045,48:37:04:a6:21:a8,admin,birmingham,"53.28385,-1.80684",CHG-003,86.47,13.52,normal,0.0,True
2025-06-14T20:30:12.693981,evuser_046,0d:8b:81:37:57:d3,fleet,london,"53.35462,-1.85161",CHG-097,90.87,38.05,normal,0.0,True
2025-06-30T15:40:12.693981,evuser_047,c6:69:98:4d:4b:4f,admin,london,"51.74980,-0.58979",CHG-032,92.61,12.07,normal,0.0,True
2025-06-20T10:21:12.693981,evuser_048,0d:6f:2a:6b:b2:05,user,london,"53.22160,-0.69659",CHG-029,78.61,34.65,normal,0.0,True
2025-07-25T13:04:12.693981,evuser_049,17:0a:3a:29:ad:36,admin,manchester,"53.32442,-2.20398",CHG-067,112.44,15.03,normal,0.0,True
2025-07-01T05:31:12.693981,evuser_050,a7:6e:b5:d9:db:14,user,london,"53.38903,-1.50345",CHG-063,110.85,32.94,normal,0.0,True
